id,stat
15S_rRNA,0.966351758602763
21S_rRNA,0.673661814555496
AWA1,1.92579302743728
ENA6,0.727965387851699
ENS2,-2.37254860067016
FPG1,1.04364715930597
HRA1,-0.860235263626986
ICR1,1.52766678477184
KHR1,-0.506232526362791
KHS1,-0.686710256903121
LSR1,-1.28904092531167
MAL21,-1.06980579457005
MAL22,-1.18524645508628
MAL23,0.783453825322116
MAL41,0.00266008632058468
MAL42,-0.145013263431036
MAL43,0.235867824605756
MAL61,-0.609855551690789
MAL62,0.574403991191368
MAL63,0.499059317560413
MATA1,0.760540719420146
MATA2,0.462252091087993
MEL1,0.112849084546146
MEL10,-0.281427385391333
MEL2,1.5362099555184
MEL3,0.441331827467067
MEL4,0.782381462270199
MEL5,0.201686974463913
MEL6,0.799918670659883
MEL7,-0.466225808762778
MEL8,1.13278396532445
MEL9,0.875303205807287
MPR1,1.37049917837752
NME1,0.0842746622210346
PWR1,0.222671066084886
Q0045,0.150446176394866
Q0050,0.652189812087021
Q0055,-0.750155443424462
Q0060,-0.00838225586772673
Q0065,0.424575801299315
Q0070,0.568288673048125
Q0075,0.696063977809217
Q0080,0.627691127415831
Q0085,0.698493055714251
Q0105,0.742773026669743
Q0110,-2.06920670848722
Q0115,0.722600686215192
Q0120,0.224293464272824
Q0130,-1.09320284231693
Q0140,0.874790950139434
Q0160,0.673736697057079
Q0250,0.385884411634756
Q0255,0.00354667393757938
Q0275,-0.84964928245032
R0010W,-0.0138735775022298
R0020C,-0.133572263120096
R0030W,-0.1087167371815
R0040C,-1.24265584852806
RDN18-1,-0.604308630057663
RDN18-2,0.261738969562681
RDN25-1,0.247072349992607
RDN25-2,0.285709732149885
RDN5-1,0.0552735865491402
RDN5-2,-1.05469780829262
RDN5-3,-0.269426897430567
RDN5-4,1.06523212773302
RDN5-5,-0.525478909607713
RDN5-6,1.72954700131145
RDN58-1,-0.046578127373916
RDN58-2,-0.15773689199061
RNA170,0.620494785831283
RPM1,-0.17917341337436
RPR1,-0.437807270066861
RTM1,-0.0533793841543252
RUF20,0.16357975353313
RUF21,0.183849051108516
RUF22,-1.27086420971743
RUF23,-0.294918072864728
RUF5-1,0.995506198833494
RUF5-2,-0.33835985197628
SCR1,-0.470036346472792
snR10,0.104759961828958
snR11,0.0344637150697877
snR128,0.584144072682528
snR13,0.176093166426704
snR14,-0.726890044234175
snR161,-0.0577327093111711
snR17a,-1.29059699007163
snR17b,-1.21171424409063
snR18,0.148724531017179
snR189,0.8499886426584
snR19,-0.994778834904757
snR190,-1.34668618691539
snR191,1.68208126112359
snR24,-0.114594318590914
snR3,0.168095021206333
snR30,-0.466035882970454
snR31,-0.903572129291258
snR32,-0.60055377794784
snR33,-1.51805027613411
snR34,0.419271549628877
snR35,-0.309348302356186
snR36,0.482503139259763
snR37,0.858012859051748
snR38,-0.862759639047307
snR39,0.220530625846251
snR39B,-0.231260305590832
snR4,1.57903368440762
snR40,-1.25285223378471
